DateValue,HourValue,TimeValue,EnergyConsumption,Setpoint,Temperature,Humidity,DewPoint,Evap Leaving Temp,Evap Entering Temp,Evpt Rfgt Pressure,Evap Sat Rfgt Temp,Cond Entering Temp,Cond Leaving Temp,Condenser Rfgt Pressure,Cond Sat Rfgt Temp,Avg Setpoint,Load,Active chilled setpoint source
22-01-2021,17,5 - 6 PM,261.43,NULL,28.55,47.5,18.05,7.47,11.48,412,5.08,28.52,32.23,1242.46,33.45,4.62,64.55,0
10-02-2021,12,12 - 1 PM,270.28125,NULL,27.76,34.33,14.63,6.53,10.71,390.67,3.81,26.98,30.39,1158.67,31.51,6.5,61,0
10-02-2021,13,1 - 2 PM,254.625,NULL,28.52,30,14.52,6.48,10.73,390.12,3.77,26.97,30.42,1160.6,31.56,6.5,61.13,0
10-02-2021,14,2 - 3 PM,200.71875,NULL,29.03,29.33,14.9,6.47,10.7,390.29,3.79,26.94,30.34,1157.45,31.48,6.5,60.92,0
10-02-2021,15,3 - 4 PM,213.9375,NULL,29.7,25.67,14.83,6.46,10.75,389.52,3.74,26.8,30.25,1154.03,31.39,6.5,61.67,0
10-02-2021,16,4 - 5 PM,199.46875,NULL,29.67,26,14.87,6.47,10.72,389.28,3.72,26.36,29.67,1130.75,30.78,6.5,59.71,0
10-02-2021,17,5 - 6 PM,246.0625,NULL,28.9,32,15.3,6.48,10.75,389.16,3.72,26.21,29.58,1127.74,30.7,6.5,59.37,0
10-02-2021,18,6 - 7 PM,241.65625,NULL,27.86,33,14.46,6.45,10.58,390.25,3.78,26.45,29.76,1133.15,30.85,6.5,58.49,0
10-02-2021,19,7 - 8 PM,180.65625,NULL,25.55,36.83,12.92,6.46,10.56,389.87,3.75,26.12,29.41,1118.82,30.47,6.5,57.27,0
10-02-2021,20,8 - 9 PM,192.5,NULL,24.59,39,12.39,6.45,10.53,389.95,3.76,26.08,29.41,1118.82,30.47,6.5,57.08,0
10-02-2021,21,9 - 10 PM,182.46875,NULL,22.56,50.17,12.59,6.47,10.51,389.85,3.76,25.25,28.52,1082.12,29.51,6.5,54.75,0
10-02-2021,22,10 - 11 PM,194.875,NULL,21.46,58.67,13.19,6.46,10.7,387.07,3.59,24.98,28.52,1085.02,29.58,6.5,56.78,0
10-02-2021,23,11 - 12 PM,177.0625,NULL,20.97,62.67,13.5,6.45,10.56,387.55,3.62,24.6,27.94,1060.1,28.93,6.5,54.34,0
11-02-2021,0,12 - 1 AM,216.9375,NULL,20.48,68,14.08,6.45,10.53,387.39,3.61,24.21,27.49,1041.25,28.44,6.5,53.19,0
11-02-2021,1,1 - 2 AM,215.21875,NULL,19.85,72.83,14.42,6.44,10.53,386.75,3.57,23.93,27.21,1030.18,28.15,6.5,52.87,0
11-02-2021,2,2 - 3 AM,213.09375,NULL,18.61,80.33,14.68,6.45,10.54,386.89,3.58,23.72,26.96,1020.11,27.88,6.5,52.32,0
11-02-2021,3,3 - 4 AM,213.28125,NULL,19,90,17,6.45,10.58,386.32,3.54,23.52,26.79,1013.83,27.72,6.5,52.32,0
11-02-2021,4,4 - 5 AM,177.09375,NULL,18.53,94,17.33,6.45,10.6,385.95,3.52,23.4,26.7,1010.62,27.63,6.5,52.46,0
11-02-2021,5,5 - 6 AM,195.125,NULL,18.51,94,17.31,6.44,10.58,385.68,3.51,23.37,26.71,1011.2,27.65,6.5,52.68,0
11-02-2021,6,6 - 7 AM,179.75,NULL,17.16,94,15.96,6.46,10.54,387.13,3.59,23.6,26.86,1016.33,27.78,6.5,52.54,0
11-02-2021,7,7 - 8 AM,214.40625,NULL,16.66,94,15.46,6.44,10.5,387.93,3.64,24.01,27.27,1032,28.19,6.5,52.93,0
11-02-2021,8,8 - 9 AM,219.125,NULL,18.12,94,16.92,6.43,10.47,388.75,3.69,24.72,27.91,1057.6,28.87,6.5,54,0
