DateValue,HourValue,TimeValue,EnergyConsumption,Setpoint,Temperature,Humidity,DewPoint,Evap Leaving Temp,Evap Entering Temp,Evpt Rfgt Pressure,Evap Sat Rfgt Temp,Cond Entering Temp,Cond Leaving Temp,Condenser Rfgt Pressure,Cond Sat Rfgt Temp,Avg Setpoint,Load,Active chilled setpoint source
25-02-2021,13,1 - 2 PM,319.1875,NULL,31.66,25.17,16.69,6.65,11.42,385.15,3.48,30.15,34,1336.83,35.56,6.69,75.92,1
25-02-2021,14,2 - 3 PM,233.25,NULL,32.01,23.17,16.64,6.77,11.48,388.53,3.68,30.31,34.04,1338.28,35.59,6.77,74.88,1
25-02-2021,15,3 - 4 PM,255.3125,NULL,32.29,20,16.29,6.77,11.32,390.75,3.81,29.62,33.09,1291.49,34.54,6.77,70.41,1
25-02-2021,16,4 - 5 PM,248.6875,NULL,32.2,21.17,16.43,6.76,11.21,391.59,3.86,29.31,32.68,1270.75,34.07,6.78,68.07,1
25-02-2021,17,5 - 6 PM,272.4375,NULL,31.75,21.33,16.02,6.75,11.16,392.1,3.89,29.38,32.78,1274.35,34.15,6.77,67.9,1
25-02-2021,18,6 - 7 PM,302.8125,NULL,29.91,24,14.71,6.74,11.34,389.41,3.73,30.01,33.78,1323.34,35.25,6.78,72.73,1
25-02-2021,19,7 - 8 PM,293,NULL,27.34,33.83,14.11,6.77,11.22,392.15,3.89,30,33.58,1312.03,35,6.77,70.02,1
25-02-2021,20,8 - 9 PM,219.125,NULL,26.03,38.5,13.73,6.74,11.11,393.37,3.96,29.84,33.28,1296.75,34.66,6.78,68.35,1
25-02-2021,21,9 - 10 PM,218.3125,NULL,24.56,43.17,13.19,6.75,11.01,395.02,4.06,29.61,32.87,1276.03,34.19,6.78,66.06,1
25-02-2021,22,10 - 11 PM,262.0625,NULL,22.99,64.33,15.86,6.76,11.01,394.5,4.04,29.36,32.59,1262.77,33.89,6.78,65.3,1
25-02-2021,23,11 - 12 PM,198.8125,NULL,22.22,70.67,16.35,6.76,10.94,394.47,4.03,28.86,32.13,1240.38,33.39,6.78,63.5,1
26-02-2021,0,12 - 1 AM,255.75,NULL,21.6,68.67,15.33,6.77,10.9,394.97,4.07,28.37,31.49,1210.26,32.71,6.76,61.56,1
26-02-2021,1,1 - 2 AM,258.5,NULL,20.58,72,14.98,6.76,10.98,393.58,3.98,28.06,31.32,1204.57,32.56,6.77,62.57,1
26-02-2021,2,2 - 3 AM,238.125,NULL,20.5,72,14.9,6.78,10.88,394.55,4.04,27.84,30.94,1186.27,32.14,6.77,60.24,1
26-02-2021,3,3 - 4 AM,195.75,NULL,20.11,72,14.51,6.77,10.87,394.45,4.03,27.22,30.27,1157.52,31.44,6.77,58.77,1
26-02-2021,4,4 - 5 AM,195,NULL,19.65,77.33,15.12,6.76,10.81,394.53,4.04,27.02,29.94,1142.23,31.07,6.77,57.63,1
26-02-2021,5,5 - 6 AM,237,NULL,19,92,17.4,6.74,10.81,394.55,4.04,27.67,29.92,1142.02,31.06,6.77,58.11,1
26-02-2021,6,6 - 7 AM,232.4375,NULL,18.63,94,17.43,6.77,10.86,393.65,3.99,27.24,29.32,1117.68,30.44,6.77,57.42,1
26-02-2021,8,8 - 9 AM,204.875,NULL,21.59,73.17,16.22,6.78,10.88,394.93,4.06,27.79,30.45,1164.45,31.61,6.77,59.66,1
26-02-2021,9,9 - 10 AM,222.5625,NULL,25.93,51.83,16.3,6.74,11.13,391.32,3.84,28.47,31.82,1230.47,33.16,6.77,66.17,1
26-02-2021,10,10 - 11 AM,288.1875,NULL,29.03,37,16.43,6.76,11.27,390.53,3.8,29.26,32.71,1273.42,34.13,6.77,69.03,1
26-02-2021,12,12 - 1 PM,260.5625,NULL,31.69,27,17.09,6.84,11.45,391.39,3.85,31.29,34.79,1370.07,36.3,6.83,75.52,0.93
15-04-2021,18,6 - 7 PM,303.375,NULL,26.24,57.67,17.77,6.09,10.59,378,3.05,28.27,31.89,1304.13,34.82,6.09,73.38,1
15-04-2021,19,7 - 8 PM,290.3125,NULL,25.41,60.33,17.48,6.1,10.43,380.93,3.23,28,31.46,1278.52,34.25,6.1,69.77,1
15-04-2021,20,8 - 9 PM,285.875,NULL,25.08,61,17.28,6.09,10.38,379.17,3.13,27.81,31.22,1265.93,33.97,6.1,69.1,1
15-04-2021,21,9 - 10 PM,279.3125,NULL,25.5,63.67,18.23,6.1,10.35,377.27,3.01,27.27,30.64,1238.6,33.35,6.1,67.49,1
15-04-2021,22,10 - 11 PM,254.5625,NULL,24.17,87.17,21.6,6.1,10.21,379.58,3.14,25.63,28.78,1149.68,31.28,6.1,61.73,1
15-04-2021,23,11 - 12 PM,249.5625,NULL,24.98,82.17,21.41,6.1,10.15,379.9,3.16,25.44,28.52,1137.13,30.95,6.1,60.21,1
16-04-2021,0,12 - 1 AM,250.6875,NULL,24.84,90,22.84,6.1,10.15,379.92,3.16,25.63,28.71,1144.87,31.15,6.1,60.63,1
16-04-2021,1,1 - 2 AM,251.0625,NULL,23.63,93,22.23,6.1,10.16,379.4,3.14,25.61,28.69,1144.25,31.13,6.1,60.65,1
16-04-2021,2,2 - 3 AM,249.5625,NULL,22.65,89,20.45,6.1,10.15,379.67,3.16,25.57,28.63,1141.17,31.06,6.1,60.13,1
16-04-2021,3,3 - 4 AM,245,NULL,22.84,83.33,19.51,6.1,10.1,379.55,3.14,25.47,28.47,1133.33,30.85,6.1,59.19,1
16-04-2021,4,4 - 5 AM,242.625,NULL,23.07,78,18.67,6.11,10.08,380.22,3.18,25.38,28.34,1127.12,30.69,6.1,58.71,1
16-04-2021,5,5 - 6 AM,248.6875,NULL,22.71,79.67,18.64,6.1,10.14,378.68,3.09,25.53,28.57,1139,31,6.1,60.41,1
16-04-2021,6,6 - 7 AM,252.375,NULL,22.43,87.17,19.86,6.1,10.18,377.97,3.05,25.65,28.73,1146.48,31.19,6.1,61.76,1
16-04-2021,7,7 - 8 AM,264.875,NULL,23.34,81.33,19.61,6.09,10.3,375.93,2.93,26.08,29.32,1175.67,31.92,6.1,64.34,1
16-04-2021,8,8 - 9 AM,269.375,NULL,25.65,67.83,19.22,6.1,10.41,374.69,2.86,25.94,29.28,1177.05,31.95,6.1,65.63,1
16-04-2021,9,9 - 10 AM,272.375,NULL,29.15,56.5,20.45,6.11,10.53,373.22,2.77,25.57,29,1167.8,31.73,6.1,66.23,1
16-04-2021,10,10 - 11 AM,285.5,NULL,30.63,50.5,20.73,6.09,10.59,371.86,2.69,26.36,29.9,1211.37,32.74,6.09,69.04,1
