DateValue,HourValue,Evap Leaving Water Temp,Evap Entering Water Temp,Cond Entering  Water Temp,Cond Leaving  Water Temp,Evpt Rfgt Pressure,Condenser Rfgt Pressure,Oil Pump Discharge Pressure,Oil Tank Temperature,Evap Sat Rfgt Temp,Cond Sat Rfgt Temp,Active Current Limit Setpoint,Setpoint,Power,Starter Average Phase Voltage, Motor Winding Temp 1, Motor Winding Temp 2, Motor Winding Temp 3,Load,Condenser Rfgt  Pressure,EnergyConsumption,Temperature,Humidity,DewPoint
03-03-2021,14,6.08,10.35,29.45,34.14,398.03,1381.09,2084.6,53.84,4.25,36.54,100,6,322.43,422.55,39.52,44.12,39.04,74.96,1381.09,312.015624,33.68,22.67,18.21
03-03-2021,15,5.98,9.89,28.62,32.9,398.58,1316.8,2077.52,54.18,4.28,35.11,100,6,293.5,414.85,37.59,39.53,36.4,69.32,1316.8,283.878906,33.9,21.83,18.27
23-03-2021,8,7.85,10.61,27.6,30.44,448.8,1171.15,1610.15,54.31,6.9,31.4,100,6,196.63,416.38,33.22,35.6,33.71,47.07,1171.15,190.265624,24.77,69,18.57
23-03-2021,9,6,9.96,28.18,32.42,399.42,1308.82,2085.45,53.61,4.33,34.93,100,6,288.08,416.47,37.29,39.05,36,67.84,1308.82,278.921875,26.85,55,17.85
23-03-2021,10,5.97,10.08,28.47,32.87,398.23,1327.73,2086.95,54.18,4.26,35.35,100,6,298.32,419.27,37.76,40.06,36.52,69.95,1327.73,289.332031,28.75,47.67,18.28
23-03-2021,11,5.99,9.96,27.44,31.69,399.23,1267.9,2078.02,53.81,4.32,34.01,100,6,281.03,418.03,36.39,37.55,34.9,66.28,1267.9,271.972656,31.09,42.67,19.62
23-03-2021,12,5.97,10.24,28.94,33.54,397.72,1354.35,2087.47,54.35,4.23,35.95,100,6,309.88,417.92,38.46,41.38,37.21,72.66,1354.35,300.101562,31.61,39.33,19.48
23-03-2021,13,5.99,10.32,28.66,33.31,397.62,1346.22,2087.83,54.5,4.22,35.77,100,6,311.32,420.65,38.43,41.05,37.11,72.68,1346.22,301.304687,32.71,34.33,19.58
23-03-2021,14,5.99,10.35,28.58,33.25,397.55,1345.23,2088.32,54.52,4.22,35.74,100,6,311.73,419.77,38.49,41.53,37.08,72.86,1345.23,301.738281,32.83,31.67,19.16
23-03-2021,15,6,10.25,28.09,32.63,398.35,1315.28,2082.3,54.18,4.27,35.07,100,6,300.77,418.28,37.73,39.71,36.18,70.57,1315.28,291.117188,33.44,30,19.44
23-03-2021,16,5.98,10.28,28.24,32.75,397.9,1319.87,2079.08,53.97,4.24,35.17,100,6,303.07,422.87,37.93,39.78,36.37,70.65,1319.87,293.636718,33.38,30.67,19.51
23-03-2021,17,5.99,10.31,28.19,32.59,397.93,1313.43,2077.95,53.79,4.24,35.03,100,6,302.5,424.33,37.66,39.78,36.18,70.39,1313.43,292.632813,32.61,33.33,19.28
23-03-2021,18,5.97,10.24,28.66,33.02,397.75,1332.4,2082.63,53.84,4.23,35.46,100,6,304.48,423.32,37.87,40.64,36.59,70.91,1332.4,294.609374,31.19,36.67,18.52
23-03-2021,19,6.01,10.13,28.86,33.08,399.23,1331.65,2080.35,53.81,4.32,35.44,100,6,297.47,422.78,37.66,39.91,36.45,69.41,1331.65,288.046876,29.54,41.17,17.77
10-05-2021,9,9.61,11.29,30.89,32.57,490.76,1304.47,1370.2,57.42,9.14,34.49,100,5.9,156.77,414.27,34.54,38.46,37.21,37.71,1304.47,151.507813,30.7,59.83,22.67
10-05-2021,10,7.54,11.46,34.37,38.93,420.23,1686.77,2153.3,55.98,5.56,42.58,100,5.5,393.67,406.43,46.15,61.32,52.39,94.24,1686.77,381.945313,32.55,49.67,22.48
10-05-2021,11,7.22,11.22,33.88,38.55,414.07,1660.18,2139.6,56.82,5.2,42.07,100,5.5,392.87,406.75,45.95,61.57,52.19,93.31,1660.18,382.664063,33.5,54,24.3
10-05-2021,12,7.8,11.76,30.52,34.95,425.8,1451.88,2114.19,55.2,5.83,37.51,100,5.5,335.32,413.08,45.03,56.86,48.2,81.05,1451.88,326.679687,33.68,54.5,24.58
10-05-2021,13,5.86,10.21,31.06,36.07,388.18,1540.42,2108.08,56.06,3.66,39.75,100,5.61,394.32,417.2,44.57,58.81,51.04,92.13,1540.42,383.171874,35.42,44.67,24.35
10-05-2021,14,5.99,10.02,30.51,35.13,393.4,1475.93,2093.92,55.54,3.97,38.51,100,6,360.85,418.07,41.98,49.58,43.43,84.23,1475.93,349.953126,35.38,43,23.98
10-05-2021,15,7.41,11.4,30.31,34.77,419.22,1406.81,2103.12,54.34,5.35,36.6,100,6,344.91,415.64,44.3,54.05,46.43,81.05,1406.81,325.5625,35.3,41,23.5
10-05-2021,16,7.45,12.2,30.76,36.11,411.53,1542.12,2105.4,55.31,5.05,39.79,100,6,402.48,407.15,45.32,62.08,52.41,95.88,1542.12,390.992187,33.13,45.67,22.26
10-05-2021,17,8.63,12.77,31.03,35.58,439.54,1418.22,2092.65,54.36,6.61,36.69,100,6,340.9,417.13,45.1,57.17,48.06,80.58,1418.22,328.882813,33.62,47.5,23.12
10-05-2021,18,8.86,12.15,32.3,35.12,475.67,1200.52,1461.27,53.98,8.17,31.22,100,6,208.03,418.77,46.61,54.98,45.03,48.65,1200.52,200.976562,33.26,49.5,23.16
10-05-2021,23,6.04,10.02,31.69,36.3,395.52,1526.57,2099.62,55.59,4.1,39.49,100,6,361.37,419.6,42.63,50.61,44.68,84.19,1526.57,350.609375,30.32,55.5,21.42
11-05-2021,0,6.01,9.69,31.02,35.43,396.02,1470.85,2089.17,55.52,4.12,38.41,100,6,341,421.46,40.96,46.87,40.44,79.25,1470.85,330.421875,29.92,60,21.92
11-05-2021,1,6,9.63,30.89,35.26,396.08,1456.13,2084.77,55.31,4.13,38.12,100,5.99,336.1,420.75,40.62,45.83,39.44,78.3,1456.13,325.359375,29.62,70,23.62
11-05-2021,2,5.54,9.43,30.93,35.6,386.2,1481.65,2087.97,55.39,3.54,38.62,100,5.5,358.03,422.1,41.91,48.75,43.28,83.07,1481.65,347,28.52,85.83,25.69
11-05-2021,3,5.51,9.16,30.76,35.16,387.72,1450.08,2083.2,55.32,3.63,38,100,5.5,338.47,423.13,40.69,45.73,39.63,78.44,1450.08,327.554688,28.35,89,26.15
11-05-2021,4,5.52,9.16,30.67,35.06,387.75,1446.18,2080.67,55.17,3.63,37.93,100,5.5,337.87,416.63,40.82,45.7,39.69,79.14,1446.18,326.9375,27.93,89.83,25.9
11-05-2021,5,5.5,9.1,30.62,34.96,387.65,1437.43,2079.68,55.09,3.63,37.76,100,5.5,333.6,413.73,40.48,45.59,39.17,78.56,1437.43,322.625,27.66,94,26.46
11-05-2021,6,5.49,9.19,30.69,35.16,386.6,1450.52,2081.98,55.15,3.57,38.01,100,5.5,341.98,414.85,40.92,46.59,40.4,80.29,1450.52,330.9375,27.83,89.83,25.8
11-05-2021,7,5.5,9.39,30.86,35.52,385.47,1477.78,2085.38,55.5,3.49,38.54,100,5.5,358,413.33,42.07,49.04,43.34,84.27,1477.78,346.476562,28.52,83.67,25.25
11-05-2021,8,5.51,9.39,30.72,35.4,385.73,1469.32,2082.68,55.57,3.51,38.38,100,5.5,355.18,411.15,41.94,48.95,42.78,84,1469.32,344.007812,30.35,73,24.95
11-05-2021,9,5.67,10.08,31.06,36.32,383.88,1534.02,2093.67,55.77,3.4,39.63,100,5.5,397.18,410.98,44.78,58.43,51.18,93.99,1534.02,385.960938,31.88,61.33,24.15
11-05-2021,10,5.52,9.42,31.1,35.8,385.82,1491.45,2088.98,55.75,3.51,38.81,100,5.5,361.72,411.33,42.51,50.32,43.52,85.77,1491.45,350.554688,33.2,57.17,24.63
11-05-2021,11,5.5,9.48,31.93,36.74,385.13,1541.2,2092.97,55.87,3.47,39.77,100,5.5,377.08,413.2,43.58,53.36,47.12,89.13,1541.2,365.5,34.35,51,24.55
11-05-2021,12,5.53,9.61,31.55,36.46,384.87,1530.47,2095.2,55.83,3.45,39.56,100,5.5,379.03,415.98,43.56,53.47,47.14,89.03,1530.47,367.695312,35.2,46,24.4
11-05-2021,13,6.4,9.87,31.06,35.34,404.4,1412.11,2095.02,55.09,4.51,36.57,100,5.5,331.33,419.69,43.57,52.46,44.84,77.3,1412.11,321.820313,35.47,47.17,24.9
11-05-2021,14,5.82,9.39,27.98,32.43,391.65,1331.57,2062.76,53.79,3.86,35.42,100,5.5,316.35,408.48,39.28,43.97,38.55,75.53,1331.57,324.640626,36.12,44.33,24.99
11-05-2021,15,5.45,8.68,27.45,31.34,389.53,1264.28,2050.13,53.33,3.73,33.93,100,5.5,276.22,409.57,36.4,37.39,34.73,66.02,1264.28,267.265625,35,48,24.6
11-05-2021,16,6.11,9.1,27.15,30.61,402.12,1219.45,2044.87,53.06,4.49,32.9,100,6.26,246.28,410.23,34.6,35.11,33.44,59.42,1219.45,238.03125,35.57,48.17,25.2
11-05-2021,17,6.73,9.9,27.21,30.74,411.55,1226.72,2051.02,52.97,5.05,33.08,100,6.8,248.43,409.8,34.51,35.37,33.49,59.87,1226.72,240.40625,34.63,42,23.03
11-05-2021,18,6.75,9.92,27.47,31,411.77,1236.08,2052.22,53.01,5.06,33.3,100,6.8,249.22,409.58,34.67,35.58,33.67,60.14,1236.08,241.679687,32.71,39.17,20.54
11-05-2021,19,6.76,9.86,27.18,30.6,413.38,1210.48,2044.72,52.79,5.16,32.72,100,6.8,240.45,409.77,33.93,34.57,32.94,58.12,1210.48,232.976562,31.08,55,22.08
11-05-2021,20,7.38,10.14,27.12,30.22,426.17,1156.05,2050.76,52.35,5.81,31.06,100,6.79,221.29,413.19,34.06,34.44,32.47,53.94,1156.05,213.484375,27.98,88.5,25.68
11-05-2021,21,6.07,9.29,27.28,31.28,399.39,1257.44,2046.56,52.73,4.33,33.78,100,6,274.88,419.39,36.34,38.03,35.29,64.97,1257.44,238.210938,26.32,88.33,23.99
11-05-2021,22,5.97,8.99,26.83,30.33,399.95,1202.15,2033.67,52.63,4.36,32.53,100,6,244.55,415.12,34.12,34.34,32.84,58.63,1202.15,236.578125,26.52,86.33,23.79
11-05-2021,23,5.98,8.92,26.25,29.47,400.95,1158.4,2027.7,52.45,4.42,31.5,100,6,226.68,415.85,32.77,32.52,31.93,54.59,1158.4,219.25,26.97,83,23.57
